title,ethnicity,activity,location,text,tags,caption,object
photo100,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/10003319_1628570830755525_844080552_n.jpg"" height=""500px"">"
photo101,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/10313016_1507267079552568_772878230732742357_n.jpg"" height=""500px"">"
photo102,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/10329767_1517235741891169_5934828616097843242_o.jpg"" height=""500px"">"
photo103,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/10384521_1535806793365263_1054727636941551585_n.jpg"" height=""500px"">"
photo104,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/10400863_664730186939753_7034298449135834649_n.jpg"" height=""500px"">"
photo105,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/10513518_664730380273067_4193254807669244338_n.jpg"" height=""500px"">"
photo106,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11004460_1552656378346971_244992765_n.jpg"" height=""500px"">"
photo107,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11004920_1552656508346958_1113879924_n.jpg"" height=""500px"">"
photo108,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11008939_1553185411627401_313154299_n.jpg"" height=""500px"">"
photo109,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11082502_804630869616350_8201731948580610633_n.jpg"" height=""500px"">"
photo110,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11741875_1625832007696074_401980498_n.jpg"" height=""500px"">"
photo111,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11898527_866746493374429_7103211412539421928_n.jpg"" height=""500px"">"
photo112,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11909_615784128501026_3647864158333308074_n.jpg"" height=""500px"">"
photo113,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11924215_388880514639285_3607615606512836473_n.jpg"" height=""500px"">"
photo114,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11934055_1643513945927880_1874661695_n.jpg"" height=""500px"">"
photo115,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/11951000_394907444036592_1088319553_n.jpg"" height=""500px"">"
photo116,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12007154_1647845372161404_636335851_n.jpg"" height=""500px"">"
photo117,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12028862_959189295431_4537977438096597716_o.jpg"" height=""500px"">"
photo118,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12031602_959191665681_6688222036203477348_o.jpg"" height=""500px"">"
photo119,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12038968_1503592803300376_8862499944029308214_o.jpg"" height=""500px"">"
photo120,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12038984_959191875261_2276162997055541092_o.jpg"" height=""500px"">"
photo121,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12041937_1651989958413612_865250341_n.jpg"" height=""500px"">"
photo122,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12065481_808634285915836_7043960712129920365_n.jpg"" height=""500px"">"
photo123,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12068661_1503592789967044_6248924688572896508_o.jpg"" height=""500px"">"
photo124,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12068891_959191680651_8400918529287681227_o.jpg"" height=""500px"">"
photo125,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12068999_959191301411_5767171201150061951_o.jpg"" height=""500px"">"
photo126,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12072799_808634262582505_6148464565457492339_n.jpg"" height=""500px"">"
photo127,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12080162_959189659701_7545995465864011126_o.jpg"" height=""500px"">"
photo128,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12080184_959191905201_1181914193354927407_o.jpg"" height=""500px"">"
photo129,,,,{{!!object}},[[photo]] ,photo#,"<img src=""http://people.sunyit.edu/~steve/images/refugeepix/12080225_959189629761_383960217068167445_o.jpg"" height=""500px"">"
